	time (s)     A(t) 		SEM 10 traj
   9.3000000e-03   2.6930000e+02   4.4697750e+00
   9.3200000e-03   2.7000000e+02   4.5922640e+00
   9.3400000e-03   2.7070000e+02   4.8282732e+00
   9.3600000e-03   2.7100000e+02   4.7093288e+00
   9.3800000e-03   2.7090000e+02   4.7596685e+00
   9.4000000e-03   2.7050000e+02   4.4428469e+00
   9.4200000e-03   2.7070000e+02   4.3920383e+00
   9.4400000e-03   2.7050000e+02   4.3620841e+00
   9.4600000e-03   2.7040000e+02   4.5489926e+00
   9.4800000e-03   2.6980000e+02   4.2316270e+00
   9.5000000e-03   2.6990000e+02   4.1027091e+00
   9.5200000e-03   2.6920000e+02   4.1947057e+00
   9.5400000e-03   2.6920000e+02   4.0436507e+00
   9.5600000e-03   2.6870000e+02   3.8845849e+00
   9.5800000e-03   2.6850000e+02   3.5629264e+00
   9.6000000e-03   2.6890000e+02   3.3481338e+00
   9.6200000e-03   2.6910000e+02   3.3679865e+00
   9.6400000e-03   2.6860000e+02   3.1347515e+00
   9.6600000e-03   2.6870000e+02   3.0697448e+00
   9.6800000e-03   2.6860000e+02   3.3704599e+00
   9.7000000e-03   2.6840000e+02   3.3671617e+00
   9.7200000e-03   2.6830000e+02   3.3732609e+00
   9.7400000e-03   2.6830000e+02   3.2008679e+00
   9.7600000e-03   2.6790000e+02   3.1883468e+00
   9.7800000e-03   2.6710000e+02   3.1497795e+00
   9.8000000e-03   2.6650000e+02   3.1171568e+00
   9.8200000e-03   2.6630000e+02   3.1448370e+00
   9.8400000e-03   2.6550000e+02   3.0559596e+00
   9.8600000e-03   2.6510000e+02   3.1391789e+00
   9.8800000e-03   2.6520000e+02   3.1756014e+00
