     time (us)      	MABM		AB		AM		BM		A		B		ABM		M
   1.0700000e+04   1.5416667e+00   2.7083333e-01   4.6708333e+01   4.5375000e+01   6.1647917e+02   6.1781250e+02   0.0000000e+00   3.6598333e+03
   1.0800000e+04   1.5625000e+00   2.7083333e-01   4.7083333e+01   4.5875000e+01   6.1608333e+02   6.1729167e+02   0.0000000e+00   3.6589167e+03
   1.0900000e+04   1.6250000e+00   2.9166667e-01   4.7291667e+01   4.6250000e+01   6.1579167e+02   6.1683333e+02   0.0000000e+00   3.6582083e+03
   1.1000000e+04   1.6250000e+00   2.9166667e-01   4.7645833e+01   4.6645833e+01   6.1543750e+02   6.1643750e+02   0.0000000e+00   3.6574583e+03
   1.1100000e+04   1.6458333e+00   2.9166667e-01   4.8062500e+01   4.6812500e+01   6.1497917e+02   6.1622917e+02   2.0833333e-02   3.6568125e+03
   1.1200000e+04   1.6666667e+00   2.9166667e-01   4.8354167e+01   4.7166667e+01   6.1466667e+02   6.1585417e+02   2.0833333e-02   3.6561250e+03
   1.1300000e+04   1.7291667e+00   2.9166667e-01   4.8604167e+01   4.7479167e+01   6.1435417e+02   6.1547917e+02   2.0833333e-02   3.6554375e+03
   1.1400000e+04   1.7708333e+00   2.9166667e-01   4.8979167e+01   4.7812500e+01   6.1393750e+02   6.1510417e+02   2.0833333e-02   3.6546458e+03
   1.1500000e+04   1.7916667e+00   2.9166667e-01   4.9291667e+01   4.8291667e+01   6.1360417e+02   6.1460417e+02   2.0833333e-02   3.6538125e+03
   1.1600000e+04   1.8333333e+00   2.9166667e-01   4.9416667e+01   4.8708333e+01   6.1343750e+02   6.1414583e+02   2.0833333e-02   3.6531875e+03
   1.1700000e+04   1.8541667e+00   2.9166667e-01   4.9666667e+01   4.9020833e+01   6.1316667e+02   6.1381250e+02   2.0833333e-02   3.6525833e+03
   1.1800000e+04   1.8750000e+00   2.9166667e-01   4.9895833e+01   4.9479167e+01   6.1291667e+02   6.1333333e+02   2.0833333e-02   3.6518542e+03
   1.1900000e+04   1.9375000e+00   2.9166667e-01   5.0187500e+01   4.9750000e+01   6.1256250e+02   6.1300000e+02   2.0833333e-02   3.6511667e+03
   1.2000000e+04   1.9791667e+00   2.9166667e-01   5.0541667e+01   4.9958333e+01   6.1216667e+02   6.1275000e+02   2.0833333e-02   3.6505208e+03
   1.2100000e+04   1.9791667e+00   2.9166667e-01   5.0812500e+01   5.0395833e+01   6.1189583e+02   6.1231250e+02   2.0833333e-02   3.6498125e+03
   1.2200000e+04   2.0208333e+00   2.9166667e-01   5.1041667e+01   5.0708333e+01   6.1162500e+02   6.1195833e+02   2.0833333e-02   3.6491875e+03
   1.2300000e+04   2.0625000e+00   2.9166667e-01   5.1333333e+01   5.0979167e+01   6.1129167e+02   6.1164583e+02   2.0833333e-02   3.6485417e+03
   1.2400000e+04   2.1041667e+00   2.9166667e-01   5.1687500e+01   5.1291667e+01   6.1087500e+02   6.1127083e+02   4.1666667e-02   3.6477708e+03
   1.2500000e+04   2.1666667e+00   2.9166667e-01   5.2020833e+01   5.1625000e+01   6.1050000e+02   6.1089583e+02   2.0833333e-02   3.6470000e+03
   1.2600000e+04   2.3125000e+00   2.9166667e-01   5.2312500e+01   5.1812500e+01   6.1006250e+02   6.1056250e+02   2.0833333e-02   3.6462292e+03
   1.2700000e+04   2.4166667e+00   2.9166667e-01   5.2666667e+01   5.2020833e+01   6.0960417e+02   6.1025000e+02   2.0833333e-02   3.6454583e+03
   1.2800000e+04   2.4583333e+00   3.1250000e-01   5.2875000e+01   5.2375000e+01   6.0933333e+02   6.0983333e+02   2.0833333e-02   3.6448125e+03
   1.2900000e+04   2.4791667e+00   3.1250000e-01   5.3208333e+01   5.2604167e+01   6.0897917e+02   6.0958333e+02   2.0833333e-02   3.6442083e+03
   1.3000000e+04   2.5208333e+00   3.1250000e-01   5.3708333e+01   5.2770833e+01   6.0843750e+02   6.0937500e+02   2.0833333e-02   3.6434583e+03
   1.3100000e+04   2.5416667e+00   3.3333333e-01   5.3937500e+01   5.3000000e+01   6.0816667e+02   6.0910417e+02   2.0833333e-02   3.6429583e+03
   1.3200000e+04   2.6458333e+00   3.3333333e-01   5.4083333e+01   5.3437500e+01   6.0791667e+02   6.0856250e+02   2.0833333e-02   3.6421667e+03
   1.3300000e+04   2.6875000e+00   3.3333333e-01   5.4354167e+01   5.3833333e+01   6.0760417e+02   6.0812500e+02   2.0833333e-02   3.6414167e+03
   1.3400000e+04   2.7083333e+00   3.3333333e-01   5.4708333e+01   5.4250000e+01   6.0722917e+02   6.0768750e+02   2.0833333e-02   3.6406042e+03
   1.3500000e+04   2.7916667e+00   3.3333333e-01   5.5000000e+01   5.4458333e+01   6.0685417e+02   6.0739583e+02   2.0833333e-02   3.6399375e+03
   1.3600000e+04   2.8333333e+00   3.3333333e-01   5.5312500e+01   5.4645833e+01   6.0650000e+02   6.0716667e+02   2.0833333e-02   3.6393542e+03
   1.3700000e+04   2.9166667e+00   3.3333333e-01   5.5645833e+01   5.4937500e+01   6.0608333e+02   6.0679167e+02   2.0833333e-02   3.6385625e+03
   1.3800000e+04   2.9791667e+00   3.5416667e-01   5.5937500e+01   5.5145833e+01   6.0570833e+02   6.0650000e+02   2.0833333e-02   3.6379375e+03
   1.3900000e+04   3.0416667e+00   3.5416667e-01   5.6062500e+01   5.5479167e+01   6.0552083e+02   6.0610417e+02   2.0833333e-02   3.6373542e+03
   1.4000000e+04   3.1041667e+00   3.5416667e-01   5.6354167e+01   5.5645833e+01   6.0516667e+02   6.0587500e+02   2.0833333e-02   3.6367708e+03
   1.4100000e+04   3.1458333e+00   3.5416667e-01   5.6791667e+01   5.5979167e+01   6.0468750e+02   6.0550000e+02   2.0833333e-02   3.6359167e+03
   1.4200000e+04   3.1875000e+00   3.5416667e-01   5.7000000e+01   5.6312500e+01   6.0443750e+02   6.0512500e+02   2.0833333e-02   3.6352917e+03
   1.4300000e+04   3.2708333e+00   3.7500000e-01   5.7166667e+01   5.6666667e+01   6.0416667e+02   6.0466667e+02   2.0833333e-02   3.6346042e+03
