	time (s)	A		B		M		AM		BM		MAB		ABM		AB		MABM
   1.4871155e-03   9.0134399e+01   9.0134399e+01   3.7353624e+03   9.8524904e+00   9.8524904e+00   3.0474750e-05   3.0474750e-05   5.6316251e-03   9.7317842e-03
   1.5218251e-03   8.9901168e+01   8.9901168e+01   3.7348961e+03   1.0084902e+01   1.0084902e+01   3.1133177e-05   3.1133177e-05   5.7426644e-03   1.0438780e-02
   1.5573448e-03   8.9663159e+01   8.9663159e+01   3.7344203e+03   1.0322041e+01   1.0322041e+01   3.1801198e-05   3.1801198e-05   5.8549388e-03   1.1194671e-02
   1.5936935e-03   8.9420293e+01   8.9420293e+01   3.7339348e+03   1.0563986e+01   1.0563986e+01   3.2478764e-05   3.2478764e-05   5.9684132e-03   1.2002130e-02
   1.6308907e-03   8.9172488e+01   8.9172488e+01   3.7334395e+03   1.0810812e+01   1.0810812e+01   3.3165814e-05   3.3165814e-05   6.0830486e-03   1.2863962e-02
   1.6689560e-03   8.8919674e+01   8.8919674e+01   3.7329341e+03   1.1062594e+01   1.1062594e+01   3.3863609e-05   3.3863609e-05   6.1987533e-03   1.3779483e-02
   1.7079098e-03   8.8661748e+01   8.8661748e+01   3.7324184e+03   1.1319423e+01   1.1319423e+01   3.4572963e-05   3.4572963e-05   6.3155876e-03   1.4757608e-02
   1.7477728e-03   8.8398613e+01   8.8398613e+01   3.7318924e+03   1.1581388e+01   1.1581388e+01   3.5292690e-05   3.5292690e-05   6.4335979e-03   1.5808020e-02
   1.7885662e-03   8.8130186e+01   8.8130186e+01   3.7313558e+03   1.1848569e+01   1.1848569e+01   3.6022741e-05   3.6022741e-05   6.5527384e-03   1.6934744e-02
   1.8303117e-03   8.7856381e+01   8.7856381e+01   3.7308084e+03   1.2121044e+01   1.2121044e+01   3.6763051e-05   3.6763051e-05   6.6729588e-03   1.8142005e-02
   1.8730315e-03   8.7577117e+01   8.7577117e+01   3.7302501e+03   1.2398893e+01   1.2398893e+01   3.7513539e-05   3.7513539e-05   6.7942040e-03   1.9434245e-02
   1.9167485e-03   8.7292310e+01   8.7292310e+01   3.7296808e+03   1.2682195e+01   1.2682195e+01   3.8274108e-05   3.8274108e-05   6.9164138e-03   2.0816131e-02
   1.9614858e-03   8.7001875e+01   8.7001875e+01   3.7291002e+03   1.2971028e+01   1.2971028e+01   3.9044640e-05   3.9044640e-05   7.0395225e-03   2.2292564e-02
   2.0072673e-03   8.6705731e+01   8.6705731e+01   3.7285081e+03   1.3265471e+01   1.3265471e+01   3.9825002e-05   3.9825002e-05   7.1634590e-03   2.3868691e-02
   2.0541173e-03   8.6403795e+01   8.6403795e+01   3.7279045e+03   1.3565600e+01   1.3565600e+01   4.0615037e-05   4.0615037e-05   7.2881459e-03   2.5549922e-02
   2.1020609e-03   8.6095992e+01   8.6095992e+01   3.7272891e+03   1.3871488e+01   1.3871488e+01   4.1418055e-05   4.1418055e-05   7.4134470e-03   2.7336743e-02
   2.1511234e-03   8.5782192e+01   8.5782192e+01   3.7266618e+03   1.4183246e+01   1.4183246e+01   4.2231863e-05   4.2231863e-05   7.5395429e-03   2.9251856e-02
   2.2013311e-03   8.5462309e+01   8.5462309e+01   3.7260223e+03   1.4500949e+01   1.4500949e+01   4.3056308e-05   4.3056308e-05   7.6663531e-03   3.1302455e-02
   2.2527106e-03   8.5136260e+01   8.5136260e+01   3.7253704e+03   1.4824676e+01   1.4824676e+01   4.3891243e-05   4.3891243e-05   7.7937890e-03   3.3495990e-02
   2.3052894e-03   8.4803963e+01   8.4803963e+01   3.7247061e+03   1.5154499e+01   1.5154499e+01   4.4736500e-05   4.4736500e-05   7.9217549e-03   3.5840287e-02
